-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                    vllm::unified_attention_with_output         2.88%     419.340ms        10.51%        1.530s     937.362us        8.062s        86.48%        8.227s       5.041ms          1632  
                   execute_context_0(0)_generation_8(8)         0.00%       0.000us         0.00%       0.000us       0.000us        8.012s        85.94%        8.012s     135.793ms            59  
                                    _tq_split_kv_kernel         0.00%       0.000us         0.00%       0.000us       0.000us        8.010s        85.93%        8.010s       5.298ms          1512  
                                      vllm::moe_forward        17.70%        2.577s        29.59%        4.308s       2.640ms     758.813ms         8.14%     802.695ms     491.847us          1632  
_matmul_ogs_NNT_bf16xbf16xmxfp4_128x256x128x1_swiglu...         0.00%       0.000us         0.00%       0.000us       0.000us     354.508ms         3.80%     354.508ms       2.954ms           120  
               execute_context_3(16380)_generation_4(4)         0.00%       0.000us         0.00%       0.000us       0.000us     284.390ms         3.05%     284.390ms     284.390ms             1  
               execute_context_3(16382)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us     278.245ms         2.98%     278.245ms     278.245ms             1  
               execute_context_2(16383)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     275.155ms         2.95%     275.155ms     275.155ms             1  
                execute_context_2(8199)_generation_6(6)         0.00%       0.000us         0.00%       0.000us       0.000us     200.369ms         2.15%     200.369ms     200.369ms             1  
          _matmul_ogs_NNT_bf16xbf16xmxfp4_128x256x128x1         0.00%       0.000us         0.00%       0.000us       0.000us     187.691ms         2.01%     187.691ms       1.564ms           120  
                execute_context_1(8192)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     175.038ms         1.88%     175.038ms     175.038ms             1  
                                            aten::addmm         1.17%     170.018ms         1.59%     231.800ms      68.499us     152.664ms         1.64%     152.740ms      45.136us          3384  
                   execute_context_0(0)_generation_7(7)         0.00%       0.000us         0.00%       0.000us       0.000us     135.177ms         1.45%     135.177ms     135.177ms             1  
                                       _vllm_fa3_C::fwd         0.02%       3.575ms         0.07%       9.495ms      79.127us     121.542ms         1.30%     121.703ms       1.014ms           120  
                                                _reduce         0.00%       0.000us         0.00%       0.000us       0.000us     107.544ms         1.15%     107.544ms      65.897us          1632  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     106.774ms         1.15%     106.774ms       1.780ms            60  
         nvjet_tst_192x192_64x4_1x2_h_bz_coopB_bias_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     106.749ms         1.15%     106.749ms     444.786us           240  
                   execute_context_0(0)_generation_6(6)         0.00%       0.000us         0.00%       0.000us       0.000us      93.085ms         1.00%      93.085ms      93.085ms             1  
