-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_4(4)         0.00%       0.000us         0.00%       0.000us       0.000us        4.631s       244.49%        4.631s      78.497ms            59  
                                      vllm::moe_forward        41.29%        2.619s        53.78%        3.411s       2.090ms     758.211ms        40.03%     778.522ms     477.036us          1632  
                    vllm::unified_attention_with_output         6.23%     395.454ms        23.89%        1.516s     928.705us     545.879ms        28.82%     800.617ms     490.574us          1632  
                                    _tq_split_kv_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     488.308ms        25.78%     488.308ms     322.955us          1512  
_matmul_ogs_NNT_bf16xbf16xmxfp4_128x256x128x1_swiglu...         0.00%       0.000us         0.00%       0.000us       0.000us     353.559ms        18.66%     353.559ms       3.683ms            96  
               execute_context_2(16382)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us     314.060ms        16.58%     314.060ms     314.060ms             1  
               execute_context_1(16383)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     309.689ms        16.35%     309.689ms     309.689ms             1  
               execute_context_2(16383)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     309.163ms        16.32%     309.163ms     309.163ms             1  
               execute_context_1(16384)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     302.781ms        15.98%     302.781ms     302.781ms             1  
                                       _vllm_fa3_C::fwd         0.07%       4.169ms         0.16%      10.092ms      84.100us     217.792ms        11.50%     218.206ms       1.818ms           120  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     202.144ms        10.67%     202.144ms       4.211ms            48  
          _matmul_ogs_NNT_bf16xbf16xmxfp4_128x256x128x1         0.00%       0.000us         0.00%       0.000us       0.000us     187.151ms         9.88%     187.151ms       1.949ms            96  
                   execute_context_0(0)_generation_3(3)         0.00%       0.000us         0.00%       0.000us       0.000us     182.323ms         9.62%     182.323ms      91.162ms             2  
                                            aten::addmm         2.66%     168.451ms         3.42%     216.909ms      64.556us     153.309ms         8.09%     153.354ms      45.641us          3360  
                   execute_context_1(4)_generation_3(3)         0.00%       0.000us         0.00%       0.000us       0.000us     124.681ms         6.58%     124.681ms     124.681ms             1  
                                                _reduce         0.00%       0.000us         0.00%       0.000us       0.000us     107.356ms         5.67%     107.356ms      65.782us          1632  
         nvjet_tst_192x192_64x4_1x2_h_bz_coopB_bias_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     106.812ms         5.64%     106.812ms     556.315us           192  
                   execute_context_0(0)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us      79.345ms         4.19%      79.345ms      79.345ms             1  
