-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_4(4)         0.00%       0.000us         0.00%       0.000us       0.000us        4.122s       313.90%        4.122s      69.868ms            59  
                                      vllm::moe_forward        43.87%        2.545s        57.36%        3.327s       2.038ms     766.481ms        58.37%     903.695ms     553.735us          1632  
_matmul_ogs_NNT_bf16xbf16xmxfp4_128x256x128x1_swiglu...         0.00%       0.000us         0.00%       0.000us       0.000us     357.833ms        27.25%     357.833ms       3.727ms            96  
               execute_context_2(16382)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us     255.446ms        19.45%     255.446ms     255.446ms             1  
               execute_context_1(16384)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     253.136ms        19.28%     253.136ms     253.136ms             1  
                                       _vllm_fa3_C::fwd         0.77%      44.751ms         1.82%     105.505ms      64.648us     252.050ms        19.19%     268.624ms     164.598us          1632  
               execute_context_2(16383)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     251.892ms        19.18%     251.892ms     251.892ms             1  
               execute_context_1(16383)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     251.766ms        19.17%     251.766ms     251.766ms             1  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     189.499ms        14.43%     189.499ms       3.948ms            48  
          _matmul_ogs_NNT_bf16xbf16xmxfp4_128x256x128x1         0.00%       0.000us         0.00%       0.000us       0.000us     189.311ms        14.42%     189.311ms       1.972ms            96  
                   execute_context_0(0)_generation_3(3)         0.00%       0.000us         0.00%       0.000us       0.000us     156.617ms        11.93%     156.617ms      78.308ms             2  
                                            aten::addmm         2.75%     159.783ms         3.75%     217.413ms      64.706us     152.948ms        11.65%     156.177ms      46.481us          3360  
                                    Command Buffer Full         0.93%      54.214ms         0.93%      54.214ms     934.726us     137.830ms        10.50%     137.830ms       2.376ms            58  
                                                _reduce         0.00%       0.000us         0.00%       0.000us       0.000us     108.290ms         8.25%     108.290ms      66.354us          1632  
         nvjet_tst_192x192_64x4_1x2_h_bz_coopB_bias_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     106.768ms         8.13%     106.768ms     556.083us           192  
                   execute_context_1(4)_generation_3(3)         0.00%       0.000us         0.00%       0.000us       0.000us      87.630ms         6.67%      87.630ms      87.630ms             1  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      69.741ms         5.31%      69.741ms      69.741ms             1  
                   execute_context_0(0)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us      68.599ms         5.22%      68.599ms      68.599ms             1  
